"PLOS"	"Zootaxa"	"BMC"
55981	52811	227717
55981	52961	227875
55982	53073	229115
56207	53094	229905
56215	53625	230559
56272	53812	230884
56272	54003	231034
56272	54082	231225
56288	54283	231240
56324	54360	231680
56326	54935	231733
56326	55008	232102
56413	55455	232344
56480	55518	232388
56552	55549	232620
56554	55605	232637
56868	55686	232745
56868	55708	232971
56872	55771	234379
56874	56182	234475
56875	56349	234632
56876	56427	234931
56953	56540	234967
56953	56640	234992
56953	56822	235297
57049	56922	235297
57049	56936	235297
57163	56989	235562
57210	57000	235861
57215	57106	235893
57240	57166	235948
57251	57231	236190
57285	57374	236456
57286	57382	236558
57348	57624	237486
57395	57678	237658
57400	57868	238437
57437	57967	238762
57603	58007	238801
57652	58012	239438
57652	58202	239740
57652	58340	239809
57679	58539	240052
57798	58575	240111
57824	58591	240140
57824	58706	240283
57840	58714	241495
57929	58760	241735
57929	58902	241968
58111	58930	242460
58111	59053	242646
58111	59115	242817
58111	59161	242852
58181	59178	243750
58231	59427	244337
58240	59694	244610
58325	59723	245189
58381	59745	245233
58566	60048	246131
58758	60052	246371
58786	60370	246407
58796	60503	246587
58949	60809	246719
58952	61031	246790
58953	61114	246945
58995	61200	247071
59001	61207	247415
59050	61463	247592
59190	61469	247781
59232	61578	247800
59301	61795	247924
59326	61835	248197
59326	62011	248515
59329	62289	248942
59401	62303	249608
59430	62488	249802
59451	62631	249859
59501	62719	249876
59594	62900	249959
59599	62915	250125
59726	63020	251127
59818	63038	251327
59895	63089	251478
59906	63179	251568
60104	63208	252053
60109	63257	252104
60228	63358	252261
60258	63422	252286
60276	63542	252764
60381	63630	252807
60436	63684	253406
60531	63810	253666
60543	63850	253708
60646	64006	253815
60700	64105	254301
60700	64362	254403
60719	64419	254420
60793	64459	254525
60973	64521	254603
61086	64530	254610
61140	64739	254967
61140	64775	255005
61318	64832	255045
61415	64862	255095
61421	64886	255098
61455	64897	255744
61528	64947	255900
61588	64984	255943
61590	65014	256131
61670	65060	256164
61868	65123	256414
61941	65218	256474
62033	65339	256740
62133	65392	257654
62151	65511	258754
62244	65594	259085
62244	65704	259087
62306	65777	259451
62536	66003	259553
62546	66078	260177
62553	66314	260335
62624	66413	260646
62624	66487	260899
62628	66715	261010
62628	66800	261080
62643	66895	261249
62746	66933	261284
62753	67047	261586
62753	67139	261619
62756	67292	261649
62756	67359	261817
62760	67429	262252
62772	67524	262555
62802	67605	262607
62802	67713	262720
62802	67722	262788
62869	67854	262871
62920	67914	263282
62922	68082	263934
62922	68108	263953
62923	68183	264498
62923	68233	264590
62925	68277	265065
62925	68279	265467
62956	68519	265479
63057	68622	265712
63091	68638	265746
63091	68697	265844
63102	68937	265970
63102	68953	266048
63105	68978	266148
63106	69145	266214
63157	69171	266659
63160	69303	266890
63240	69370	266898
63408	69406	267018
63574	69545	267023
63763	69580	267708
63775	69619	267747
63776	69624	267928
63780	69637	268184
63799	69748	268460
63884	69912	268976
63884	69941	269034
63958	69997	269045
63958	70104	269244
63973	70173	269277
64121	70224	269525
64176	70290	269659
64222	70307	269778
64229	70332	269945
64321	70371	270169
64328	70400	270658
64334	70549	270866
64461	70644	270960
64487	70649	271808
64568	70701	271856
64645	70757	271992
64686	70791	272164
64689	70873	272269
65169	70886	272309
65175	71025	272484
65265	71109	272497
65265	71122	272555
65269	71225	273229
65301	71285	273252
65301	71492	274256
65354	71683	274462
65390	71974	274664
65413	72042	274775
65487	72043	275019
65528	72119	275282
65615	72135	275357
65644	72203	275697
65828	72247	276349
65842	72253	276515
65857	72300	276679
65887	72586	276855
66029	72722	276896
66199	72751	276908
66352	72885	277038
66385	72897	277235
66494	72900	277350
66520	72921	277371
66577	73354	277673
66611	73545	277783
66611	73563	277905
66861	73978	278107
66948	74013	278299
66959	74066	278446
66964	74066	278986
67065	74080	279162
67119	74229	279186
67228	74260	279249
67228	74279	279251
67271	74314	279284
67350	74335	279766
67357	74369	279867
67485	74438	279999
67492	74516	280605
67610	74543	280680
67626	74697	280849
67644	74835	280940
67730	75008	281048
67742	75042	281313
67742	75238	281425
67911	75252	281661
67969	75298	281896
68143	75384	282526
68274	75624	282737
68274	75739	283019
68302	75748	283103
68340	75866	283112
68437	75905	283140
68505	76067	283553
68506	76084	283646
68525	76097	283673
68584	76166	283867
68602	76235	283927
68623	76517	284145
68684	76572	284161
68767	76576	284477
68835	76650	284584
69060	76654	284806
69063	76699	285226
69282	76717	285230
69563	76769	285233
69693	76886	285373
69713	76961	285479
69713	77049	285566
69784	77100	285781
69851	77106	285843
69867	77161	285857
69878	77164	285915
69955	77244	286008
70059	77298	286272
70074	77399	286595
70074	77426	287191
70076	77483	287330
70123	77565	287360
70188	77592	287570
70212	77630	287578
70287	77657	288126
70302	77783	288155
70359	77791	288271
70360	77804	288284
70436	77830	288297
70461	78009	288481
70507	78065	288527
70541	78163	288610
70628	78243	288640
70668	78452	288710
70743	78566	288978
70764	78574	289161
70776	78640	289168
70781	78705	289310
70981	78928	289313
71046	78936	289412
71147	78937	289444
71274	78946	289456
71276	78959	289550
71294	79026	289608
71294	79048	289704
71386	79230	289976
71691	79280	290087
71808	79349	290182
71901	79440	290294
71911	79570	290318
71975	79571	290535
71995	79625	290599
72005	79666	290600
72024	79699	290694
72101	79739	290707
72134	79744	290717
72160	79782	290726
72233	79819	290788
72242	79871	291210
72295	79908	291213
72441	79921	291219
72467	79939	291302
72515	79982	291400
72529	80042	291632
72597	80226	291733
72607	80230	291975
72628	80248	292177
72651	80295	292216
72652	80296	292240
72751	80302	292249
72758	80304	292374
72828	80460	292378
73068	80461	292379
73083	80470	292403
73109	80577	293072
73162	80663	293331
73176	80706	293477
73180	80784	293498
73180	80816	293498
73236	80868	293599
73260	80889	293657
73273	80990	293683
73373	81176	293834
73543	81265	293884
73560	81291	294087
73572	81295	294107
73599	81471	294135
73599	81653	294210
73613	81661	294375
73689	81716	294439
73704	81782	294660
73706	81979	294664
73752	82080	294816
73788	82193	294847
73841	82299	295048
73906	82516	295294
73968	82602	295381
73976	82617	295446
74003	82730	295666
74084	82821	295683
74164	82945	296001
74248	82963	296288
74284	83007	296549
74293	83158	296594
74369	83231	296731
74546	83255	296801
74559	83354	297012
74562	83370	297040
74563	83433	297387
74563	83518	297488
74564	83698	297545
74564	83794	297677
74565	83936	297755
74565	84008	297770
74565	84096	298193
74577	84135	298450
74577	84316	298520
74602	84357	298586
74709	84406	298854
74743	84415	299262
74766	84432	299504
74766	84598	299506
74854	84681	300222
74857	84682	300369
74859	84731	300651
74896	84782	300806
74970	85174	301165
74972	85213	301224
75051	85359	301260
75077	85371	301262
75105	85398	301293
75148	85411	301309
75170	85528	301471
75207	85563	301510
75218	85600	301647
75248	85863	301668
75268	85911	301727
75337	85932	302044
75346	85987	302069
75379	86009	302283
75447	86105	302359
75460	86106	302405
75471	86192	302428
75516	86230	302466
75538	86286	302577
75625	86303	302722
75626	86333	302787
75665	86338	303231
75727	86390	303272
75727	86395	303335
75782	86572	303392
75842	86671	303445
75842	86679	303657
75842	86732	303809
76000	86738	304058
76054	86798	304285
76122	86846	304603
76169	86895	304667
76182	86985	304674
76182	87037	304875
