			" A 200 journal subsample (out of 1082 total) of journals from these subject catergories in Thomson Reuters JCR: ANATOMY & MORPHOLOGY; BEHAVIORAL SCIENCES; BIOCHEMISTRY & MOLECULAR BIOLOGY; BIODIVERSITY CONSERVATION; BIOLOGY; ECOLOGY; ENTOMOLOGY; EVOLUTIONARY BIOLOGY; PALEONTOLOGY; PARASITOLOGY; PLANT SCIENCES; VIROLOGY; ZOOLOGY"					
		"Journal Name"	"ISSN"	"Number of articles in a year"		"median number of articles per year per journal"	"mean number of articles"	"total number of articles"
		"BIOSCI J"	"1516-3725"	129				
		"AM BEE J"	"0002-7626"	130				
		"CHRONOBIOL INT"	"0742-0528"	133				
		"BIOESSAYS"	"0265-9247"	134				
		"CLIN ANAT"	"0897-3806"	136				
		"BIOMETRICS"	"0006-341X"	142				
		"ANTIVIR THER"	"1359-6535"	143				
		"CAN J ZOOL"	"0008-4301"	144				
		"BIOL CONTROL"	"1049-9644"	148				
		"BIOLOGIA"	"0006-3088"	152				
		"BIOL PSYCHOL"	"0301-0511"	155				
		"AM NAT"	"0003-0147"	156				
		"APPL ANIM BEHAV SCI"	"0168-1591"	160				
		"COMP BIOCHEM PHYS A"	"1095-6433"	168				
		"ANTIVIR RES"	"0166-3542"	171				
		"ARCH BIOL SCI"	"0354-4664"	179				
		"BRAZ J MED BIOL RES"	"0100-879X"	183				
		"AM J PHYS ANTHROPOL"	"0002-9483"	187				
		"BIOL INVASIONS"	"1387-3547"	207				
		"BIOL J LINN SOC"	"0024-4066"	207				
		"ANAT REC"	"1932-8486"	208				
		"BIODIVERS CONSERV"	"0960-3115"	216				
		"BIOCHEM SYST ECOL"	"0305-1978"	223				
		"COMMUN SOIL SCI PLAN"	"0010-3624"	237				
		"ACTA PHYSIOL PLANT"	"0137-5881"	239				
		"BMC PLANT BIOL"	"1471-2229"	243				
		"AIDS RES HUM RETROV"	"0889-2229"	247				
		"BMC EVOL BIOL"	"1471-2148"	254				
		"ANN BOT-LONDON"	"0305-7364"	260				
		"BIOL LETTERS"	"1744-9561"	263				
		"AIDS"	"0269-9370"	265				
		"AGR ECOSYST ENVIRON"	"0167-8809"	266				
		"BIOL CONSERV"	"0006-3207"	271				
		"ADV EXP MED BIOL"	"0065-2598"	306				
		"APPETITE"	"0195-6663"	308				
		"ARCH VIROL"	"0304-8608"	312				
		"AM J BOT"	"0002-9122"	322				
		"BIOGEOSCIENCES"	"1726-4170"	350				
		"ANIM BEHAV"	"0003-3472"	354				
